service_url,verified,service_id,account,details_url,agencies/0/agency_id,agencies/0/agency_name,agencies/0/agency_url,organization,agencies/1/agency_id,agencies/1/agency_name,agencies/1/agency_url,agencies/2/agency_id,agencies/2/agency_name,agencies/2/agency_url
http://facebook.com/VANYHarbor,true,facebook,VANYHarbor,http://registry.usa.gov/accounts/facebook/VANYHarbor,va,Department of Veterans Affairs (VA),http://www.va.gov,VA NY Harbor Healthcare System,,,,,,
http://facebook.com/VAOrlando,true,facebook,VAOrlando,http://registry.usa.gov/accounts/facebook/VAOrlando,va,Department of Veterans Affairs (VA),http://www.va.gov,Orlando VA Medical Center,,,,,,
http://facebook.com/VAPacificIslands,true,facebook,VAPacificIslands,http://registry.usa.gov/accounts/facebook/VAPacificIslands,va,Department of Veterans Affairs (VA),http://www.va.gov,VA Pacific Islands Health Care System,,,,,,
http://facebook.com/vapahcs,true,facebook,vapahcs,http://registry.usa.gov/accounts/facebook/vapahcs,va,Department of Veterans Affairs (VA),http://www.va.gov,VA Palo Alto Health Care System,,,,,,
http://facebook.com/VAPHS,true,facebook,VAPHS,http://registry.usa.gov/accounts/facebook/VAPHS,va,Department of Veterans Affairs (VA),http://www.va.gov,VA Pittsburgh Healthcare System,,,,,,
http://facebook.com/vaportland,true,facebook,vaportland,http://registry.usa.gov/accounts/facebook/vaportland,va,Department of Veterans Affairs (VA),http://www.va.gov,Portland VA Medical Center,,,,,,
http://facebook.com/VAPrescott,true,facebook,VAPrescott,http://registry.usa.gov/accounts/facebook/VAPrescott,va,Department of Veterans Affairs (VA),http://www.va.gov,Northern Arizona VA Health Care System,,,,,,
http://facebook.com/VAProvidence,true,facebook,VAProvidence,http://registry.usa.gov/accounts/facebook/VAProvidence,va,Department of Veterans Affairs (VA),http://www.va.gov,Providence VA Medical Center,,,,,,
http://facebook.com/VAPTSD,true,facebook,VAPTSD,http://registry.usa.gov/accounts/facebook/VAPTSD,va,Department of Veterans Affairs (VA),http://www.va.gov,National Center for PTSD,,,,,,
http://facebook.com/vapugetsound,true,facebook,vapugetsound,http://registry.usa.gov/accounts/facebook/vapugetsound,va,Department of Veterans Affairs (VA),http://www.va.gov,VA Puget Sound Healthcare System,,,,,,
http://facebook.com/VAReno,true,facebook,VAReno,http://registry.usa.gov/accounts/facebook/VAReno,va,Department of Veterans Affairs (VA),http://www.va.gov,VA Sierra Nevada Health Care System,,,,,,
http://facebook.com/VAResearch,true,facebook,VAResearch,http://registry.usa.gov/accounts/facebook/VAResearch,va,Department of Veterans Affairs (VA),http://www.va.gov,U.S. Department of Veterans Affairs Office of Research & Development,,,,,,
http://facebook.com/VARoseburg,true,facebook,VARoseburg,http://registry.usa.gov/accounts/facebook/VARoseburg,va,Department of Veterans Affairs (VA),http://www.va.gov,Roseburg VA Medical Center,,,,,,
http://facebook.com/VASaginaw,true,facebook,VASaginaw,http://registry.usa.gov/accounts/facebook/VASaginaw,va,Department of Veterans Affairs (VA),http://www.va.gov,Aleda E. Lutz VA Medical Center,,,,,,
http://facebook.com/VASalisbury,true,facebook,VASalisbury,http://registry.usa.gov/accounts/facebook/VASalisbury,va,Department of Veterans Affairs (VA),http://www.va.gov,W. G. (Bill) Hefner VA Medical Center,,,,,,
http://facebook.com/vasaltlakecity,true,facebook,vasaltlakecity,http://registry.usa.gov/accounts/facebook/vasaltlakecity,va,Department of Veterans Affairs (VA),http://www.va.gov,VA Salt Lake City Health Care System,,,,,,
http://facebook.com/VASanDiego,true,facebook,VASanDiego,http://registry.usa.gov/accounts/facebook/VASanDiego,va,Department of Veterans Affairs (VA),http://www.va.gov,VA San Diego Healthcare System,,,,,,
http://facebook.com/VAShreveport,true,facebook,VAShreveport,http://registry.usa.gov/accounts/facebook/VAShreveport,va,Department of Veterans Affairs (VA),http://www.va.gov,Overton Brooks VA Medical Center,,,,,,
http://facebook.com/VASiouxFalls,true,facebook,VASiouxFalls,http://registry.usa.gov/accounts/facebook/VASiouxFalls,va,Department of Veterans Affairs (VA),http://www.va.gov,Sioux Falls VA Medical Center,,,,,,
http://facebook.com/VASouthOregon,true,facebook,VASouthOregon,http://registry.usa.gov/accounts/facebook/VASouthOregon,va,Department of Veterans Affairs (VA),http://www.va.gov,Southern Oregon Rehabilitation Center & Clinics,,,,,,
http://facebook.com/VASpokane,true,facebook,VASpokane,http://registry.usa.gov/accounts/facebook/VASpokane,va,Department of Veterans Affairs (VA),http://www.va.gov,Spokane VA Medical Center,,,,,,
http://facebook.com/VAStLouis,true,facebook,VAStLouis,http://registry.usa.gov/accounts/facebook/VAStLouis,va,Department of Veterans Affairs (VA),http://www.va.gov,"St. Louis, MO VA Medical Center",,,,,,
http://facebook.com/VASyracuse,true,facebook,VASyracuse,http://registry.usa.gov/accounts/facebook/VASyracuse,va,Department of Veterans Affairs (VA),http://www.va.gov,Syracuse VA Medical Center,,,,,,
http://facebook.com/VATampa,true,facebook,VATampa,http://registry.usa.gov/accounts/facebook/VATampa,va,Department of Veterans Affairs (VA),http://www.va.gov,James A. Haley Veterans Hospital,,,,,,
http://facebook.com/VATucson,true,facebook,VATucson,http://registry.usa.gov/accounts/facebook/VATucson,va,Department of Veterans Affairs (VA),http://www.va.gov,Southern Arizona VA Health Care System,,,,,,
http://facebook.com/VATuscaloosa,true,facebook,VATuscaloosa,http://registry.usa.gov/accounts/facebook/VATuscaloosa,va,Department of Veterans Affairs (VA),http://www.va.gov,Tuscaloosa VA Medical Center,,,,,,
http://facebook.com/VATVHS,true,facebook,VATVHS,http://registry.usa.gov/accounts/facebook/VATVHS,va,Department of Veterans Affairs (VA),http://www.va.gov,Tennessee Valley Healthcare System,,,,,,
http://facebook.com/VAWallaWalla,true,facebook,VAWallaWalla,http://registry.usa.gov/accounts/facebook/VAWallaWalla,va,Department of Veterans Affairs (VA),http://www.va.gov,Jonathan M. Wainwright Memorial VA Medical Center,,,,,,
http://facebook.com/VAWelcomeHome,true,facebook,VAWelcomeHome,http://registry.usa.gov/accounts/facebook/VAWelcomeHome,va,Department of Veterans Affairs (VA),http://www.va.gov,VA Returning Service Members,,,,,,
http://facebook.com/VAWesternNY,true,facebook,VAWesternNY,http://registry.usa.gov/accounts/facebook/VAWesternNY,va,Department of Veterans Affairs (VA),http://www.va.gov,VA Western New York Healthcare System at Buffalo,,,,,,
http://facebook.com/VAWestPalmBeach,true,facebook,VAWestPalmBeach,http://registry.usa.gov/accounts/facebook/VAWestPalmBeach,va,Department of Veterans Affairs (VA),http://www.va.gov,West Palm Beach VA Medical Center,,,,,,
http://facebook.com/VAWestTexas,true,facebook,VAWestTexas,http://registry.usa.gov/accounts/facebook/VAWestTexas,va,Department of Veterans Affairs (VA),http://www.va.gov,West Texas VA Health Care System,,,,,,
http://facebook.com/VAWhiteRiverJunction,true,facebook,VAWhiteRiverJunction,http://registry.usa.gov/accounts/facebook/VAWhiteRiverJunction,va,Department of Veterans Affairs (VA),http://www.va.gov,White River Junction VA Medical Center,,,,,,
http://facebook.com/VAWilkesBarre,true,facebook,VAWilkesBarre,http://registry.usa.gov/accounts/facebook/VAWilkesBarre,va,Department of Veterans Affairs (VA),http://www.va.gov,Wilkes-Barre VA Medical Center,,,,,,
http://facebook.com/VCBHCS,true,facebook,VCBHCS,http://registry.usa.gov/accounts/facebook/VCBHCS,va,Department of Veterans Affairs (VA),http://www.va.gov,Texas Valley Coastal Bend Healthcare System,,,,,,
